Date,Time (UTC-7),Site,Flow (m3/s),Water Temp (°C),SpC (µS/cm),pH,DOC (mg/L),Sulphate (mg/L),Mg (mg/L),Ca (mg/L),Area (Km2)
2018-06-19,14:42,Buckbrush,,6.4,27.8,6.89,2.3,3.9,1.2,5.7,5.430836
2018-06-26,13:00,Buckbrush,0.14,3,33.4,7.9,1.8,9.9,2.2,9.4,5.430836
2018-07-10,14:10,Buckbrush,0.0898,4.5,52.9,7.45,1.4,11.1,2.4,10.2,5.430836
2018-07-25,11:44,Buckbrush,,6.4,,7.57,1.3,12,2.7,11.4,5.430836
2018-07-30,13:10,Buckbrush,,,,,1.5,12.3,2.7,11.8,5.430836
2018-08-15,11:38,Buckbrush,0.0578,5.4,72.7,7.42,1.3,9.9,2.6,11.1,5.430836
2018-09-06,10:50,Buckbrush,0.0676,4.1,60.6,7.58,1,9.9,2.5,10.9,5.430836
2018-09-18,14:22,Buckbrush,,3.7,56.8,7.8,1.2,9.3,2.4,10.4,5.430836
2018-09-26,13:10,Buckbrush,0.0626,3.2,64.2,7.84,1.1,11.7,2.7,11.4,5.430836
2018-10-24,13:06,Buckbrush,,1.3,71.8,7.55,1.4,15,2.9,11.9,5.430836
2019-01-15,,Buckbrush,0.015,0,84,7.29,0.8,19.2,3.4,14.4,5.430836
2019-03-06,15:05,Buckbrush,0.01,0.2,82.4,7.4,1.3,12.6,3.1,12.9,5.430836
2019-05-23,16:44,Buckbrush,0.086,3,40.1,6.93,2.6,3.6,1.5,6.8,5.430836
2019-06-14,16:30,Buckbrush,,6.3,45.2,7.07,4.2,4.2,1.7,7.6,5.430836
2019-06-19,15:43,Buckbrush,,,,,1.7,4.8,2,8.7,5.430836
2019-06-27,12:13,Buckbrush,0.159,5.77,42,7.92,,,,,5.430836
2019-07-11,15:29,Buckbrush,0.068,7.07,67,7.42,1.9,9.6,2.5,10.8,5.430836
2019-07-19,10:28,Buckbrush,,5.7,69.5,7.22,1.7,10.2,2.8,11.3,5.430836
2019-07-20,13:20,Buckbrush,,6.1,68.7,7.15,2.1,9.6,2.4,10.7,5.430836
2019-07-25,13:17,Buckbrush,,7.5,58.7,6.96,2.9,6.3,2,9.1,5.430836
2019-07-31,12:14,Buckbrush,0.138,5.8,58,7.27,1.6,6,2.1,9.4,5.430836
2019-08-01,14:17,Buckbrush,,7,56.5,7.58,1.5,6,2.2,9.5,5.430836
2019-08-14,12:00,Buckbrush,0.107,6.2,67.7,7.02,1.5,8.4,2.7,11,5.430836
2019-08-21,,Buckbrush,,,,,1.6,7.2,2.3,9.9,5.430836
2019-08-28,11:58,Buckbrush,0.119,5.2,61.8,7.09,1.6,7.5,2.4,10,5.430836
2019-09-06,,Buckbrush,0.043,,,,1.2,9,2.5,10.9,5.430836
2019-10-10,14:07,Buckbrush,,3.2,79.6,7.28,1.4,10,2.2,9.6,5.430836
2019-11-19,15:25,Buckbrush,,0.5,74.5,7.67,2.1,10.2,2.4,8.9,5.430836
